City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
515,Pierre,US,87.85,clear sky,44.3683,-100.351,Ramkota Hotel
516,Hay River,CA,87.78,few clouds,60.8156,-115.7999,Ptarmigan Inn
517,Diffa,NE,76.86,broken clouds,13.3154,12.6113,ProDAF/Diffa
522,Verkhniy Baskunchak,RU,83.14,overcast clouds,48.2256,46.7217,Kombat
523,Pangoa,PE,77.25,broken clouds,-12.1167,-73.0,
525,Aquiraz,BR,82.49,broken clouds,-3.9014,-38.3911,Pousada Rua Camurupim
526,Bridgetown,BB,86.49,scattered clouds,13.1,-59.6167,Hilton Barbados Resort
527,Morros,BR,84.63,clear sky,-9.4467,-46.3003,
528,Marsh Harbour,BS,85.42,broken clouds,26.5412,-77.0636,Abaco Beach Resort
530,Sumter,US,78.75,broken clouds,28.7086,-82.0831,Paradise Oaks RV Resort
532,Ariquemes,BR,83.93,broken clouds,-9.9133,-63.0408,Hotel Sol Nascente - Ariquemes - RO
533,Itoman,JP,84.22,few clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
539,Matara,LK,76.08,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
543,Oistins,BB,86.09,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
546,Mamallapuram,IN,85.05,overcast clouds,12.6264,80.1722,Radisson Blu Resort Temple Bay Mamallapuram
547,Manono,CD,76.86,clear sky,-7.3,27.4167,Hotel hewa bora
549,Hobbs,US,82.06,broken clouds,32.7026,-103.136,Best Western Executive Inn
553,Camocim,BR,80.4,overcast clouds,-2.9022,-40.8411,Ilha Praia Hotel
555,Whitecourt,CA,81.64,clear sky,54.1502,-115.6855,Super 8 by Wyndham Whitecourt
557,Forestville,US,87.22,clear sky,38.8451,-76.875,Quality Inn Near Joint Base Andrews-Washington Area
558,Benjamin Constant,BR,80.73,broken clouds,-4.3831,-70.0311,CASA AVALIADA
559,Amapa,BR,81.1,overcast clouds,1.0,-52.0,
561,Booue,GA,75.96,overcast clouds,-0.0921,11.9385,Splendeur de l'équateur
563,Deoband,IN,82.22,broken clouds,29.7,77.6833,Anupam Hotel
570,Sioux Lookout,CA,82.47,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
571,Villa Union,MX,88.92,broken clouds,23.2,-106.2333,My Fantasy Auto-Hotel
573,Carberry,CA,79.03,overcast clouds,49.8689,-99.3602,Carberry Motor Inn
576,Hopkinsville,US,87.31,broken clouds,36.8656,-87.4886,Hampton Inn & Suites Hopkinsville
577,Abu Samrah,SY,77.9,clear sky,35.3029,37.1841,
582,Veraval,IN,78.91,broken clouds,20.9,70.3667,Lords Inn Somnath
587,Concepcion Del Oro,MX,75.6,broken clouds,24.6333,-101.4167,Hotel Hacienda San Javier
588,Angul,IN,80.15,very heavy rain,20.85,85.1,Bluebay 08 satkosia Tarava
594,Saint Anthony,US,78.85,overcast clouds,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
595,Turayf,SA,89.85,clear sky,31.6725,38.6637,Turaif
598,Sai Buri,TH,76.6,overcast clouds,6.7013,101.6168,สวนป่ารีสอร์ท
604,Gizo,SB,80.04,light rain,-8.103,156.8419,Imagination Island
607,Sulangan,PH,81.18,overcast clouds,11.1373,123.7228,Maia's Beach Resort
609,Piaseczno,PL,76.98,clear sky,52.0814,21.024,DeSilva Piaseczno
612,Wanning,CN,77.58,overcast clouds,18.8003,110.3967,Paradise Hotel
614,Carutapera,BR,79.59,scattered clouds,-1.195,-46.02,Lidera
615,Durango,MX,77.99,overcast clouds,24.8333,-104.8333,
616,Malkangiri,IN,76.01,overcast clouds,18.35,81.9,MR-SAGAR_KUMAR_RTR™
620,Bontang,ID,77.07,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
621,Tutoia,BR,79.56,overcast clouds,-2.7619,-42.2744,Pousada Guará's
623,Inirida,CO,89.22,broken clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
624,Aden,YE,87.82,few clouds,12.7794,45.0367,Sama Emirate Hotel
631,Taybad,IR,76.5,scattered clouds,34.74,60.7756,لی پوش jean center
641,Fukue,JP,82.31,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
642,Kantunilkin,MX,79.79,overcast clouds,21.0917,-87.45,Posada Paraiso
644,Praia,CV,79.34,scattered clouds,14.9215,-23.5087,LT Aparthotel
647,Mitchell,US,86.74,scattered clouds,43.7094,-98.0298,Kelly Inn & Suites
649,Awjilah,LY,84.56,clear sky,29.1081,21.2869,المنزل
651,Vilhena,BR,89.82,smoke,-12.7406,-60.1458,Hotel Mirage
653,Pitimbu,BR,77.59,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
654,Carlyle,US,86.13,few clouds,38.6103,-89.3726,Mariner's Village at Carlyle Lake
655,Kamyshin,RU,80.6,overcast clouds,50.0983,45.416,Guest House Aviator
657,Mae Ramat,TH,77.79,overcast clouds,16.984,98.5166,บ้านโฮ่งโฮมสเตย์ แม่ระมาด ตาก
661,Kaka,TM,77.27,clear sky,37.3482,59.6143,
664,Atar,MR,83.07,moderate rain,20.5169,-13.0499,Oumou Elghoura
