City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
173,Richards Bay,ZA,-28.783,32.0377,64.22,72,4,6.85,clear sky
174,Lima,PE,-12.0432,-77.0282,59.25,77,100,4.61,overcast clouds
175,Laguna,US,38.421,-121.4238,103.32,33,0,4.0,clear sky
176,Jinxiang,CN,27.4327,120.6062,80.71,91,82,1.1,broken clouds
177,Guerrero Negro,MX,27.9769,-114.0611,82.35,54,65,14.94,broken clouds
178,Sitka,US,57.0531,-135.33,62.49,72,20,5.75,few clouds
179,Luderitz,NA,-26.6481,15.1594,55.02,75,4,22.7,clear sky
180,Wawa,NG,9.9022,4.4192,73.13,92,93,3.6,light rain
181,Balikpapan,ID,-1.2675,116.8289,76.19,100,40,5.75,scattered clouds
182,Asau,RO,46.4333,26.4,70.72,79,0,5.35,light rain
183,Ilulissat,GL,69.2167,-51.1,44.62,76,40,5.75,scattered clouds
184,Kumla,SE,59.1277,15.1434,67.53,94,20,5.75,few clouds
185,Kenai,US,60.5544,-151.2583,57.15,81,100,3.44,overcast clouds
186,Hirara,JP,24.8,125.2833,84.97,72,54,21.5,broken clouds
187,Puerto Carreno,CO,6.189,-67.4859,93.18,52,20,8.05,few clouds
188,Yumen,CN,40.2833,97.2,66.6,24,0,5.7,clear sky
189,Hithadhoo,MV,-0.6,73.0833,81.34,77,99,12.59,overcast clouds
190,Katghora,IN,22.5,82.55,75.83,93,100,4.85,moderate rain
191,Vermilion,US,40.1667,-87.7506,85.57,61,40,0.0,scattered clouds
192,Ninh Binh,VN,20.2539,105.975,79.2,89,98,3.15,overcast clouds
193,Tonj,SS,7.2737,28.6822,71.24,97,100,3.89,light rain
194,Dukat,RU,62.55,155.55,44.06,97,100,5.99,overcast clouds
195,Vila Velha,BR,-20.3297,-40.2925,76.95,75,40,13.8,scattered clouds
196,Lalmohan,BD,22.3384,90.7419,81.72,82,85,23.17,overcast clouds
197,Pasighat,IN,28.0667,95.3333,77.59,93,96,3.0,overcast clouds
198,Ixtapa,MX,20.7,-105.2,89.22,64,100,5.01,overcast clouds
199,Mayumba,GA,-3.432,10.6554,71.02,94,27,6.4,scattered clouds
200,Chokurdakh,RU,70.6333,147.9167,53.64,72,100,10.94,overcast clouds
201,Eydhafushi,MV,5.1033,73.0708,80.01,78,81,5.35,broken clouds
202,Pangnirtung,CA,66.1451,-65.7125,42.8,87,75,10.36,broken clouds
203,Nagua,DO,19.3832,-69.8474,89.91,79,40,13.8,scattered clouds
204,Yulara,AU,-25.2406,130.9889,45.66,62,76,9.8,broken clouds
205,Belaya Gora,RU,68.5333,146.4167,57.65,69,6,10.42,clear sky
206,Hamilton,US,39.1834,-84.5333,85.8,49,20,5.75,few clouds
207,Nanortalik,GL,60.1432,-45.2371,41.58,75,1,14.2,clear sky
208,Inuvik,CA,68.3499,-133.7218,47.26,100,100,20.71,light rain
209,Saldanha,ZA,-33.0117,17.9442,53.65,79,75,14.7,broken clouds
210,Bousse,BF,12.6606,-1.8922,81.19,72,100,3.89,overcast clouds
211,Alamosa,US,37.4695,-105.87,75.18,27,0,4.61,clear sky
212,Umm Lajj,SA,25.0213,37.2685,89.04,55,2,7.7,clear sky
213,Iqaluit,CA,63.7506,-68.5145,38.93,100,100,9.22,light rain
214,Sept-Iles,CA,50.2001,-66.3821,64.06,90,75,8.05,light intensity drizzle
215,Tura,IN,25.5198,90.2201,75.74,97,99,8.46,overcast clouds
216,Strelka,RU,58.0728,93.0344,48.4,99,99,5.57,overcast clouds
217,Kabanjahe,ID,3.1001,98.4908,62.24,96,50,1.39,scattered clouds
218,Konde,TZ,-4.95,39.75,73.62,82,4,9.75,clear sky
219,Louis Trichardt,ZA,-23.0439,29.9032,70.14,15,31,4.79,scattered clouds
220,Chuy,UY,-33.6971,-53.4616,45.86,69,15,12.82,few clouds
221,Amazar,RU,53.858,120.875,48.76,86,100,2.15,overcast clouds
222,Isangel,VU,-19.55,169.2667,72.93,82,13,10.87,few clouds
223,East London,ZA,-33.0153,27.9116,59.32,79,82,14.99,light rain
224,Shimoda,JP,34.6667,138.95,73.11,77,42,7.78,scattered clouds
225,Farafangana,MG,-22.8167,47.8333,68.68,88,2,11.72,clear sky
226,Tommot,RU,58.9564,126.2925,47.8,97,36,3.58,scattered clouds
227,Mahina,PF,-17.5065,-149.489,79.75,89,40,19.57,light rain
228,Soyo,AO,-6.1349,12.3689,70.57,89,1,7.58,clear sky
229,Redding,US,40.5865,-122.3917,101.62,21,0,14.97,clear sky
230,Songjianghe,CN,42.1859,127.479,61.61,97,100,6.91,light rain
231,Port Moresby,PG,-9.4431,147.1797,74.62,73,100,11.5,overcast clouds
232,Beaverlodge,CA,55.2166,-119.4361,81.75,22,0,4.07,clear sky
233,Mehamn,NO,71.0357,27.8492,44.55,87,0,2.3,clear sky
234,Khasan,RU,42.4308,130.6434,68.27,93,97,3.18,overcast clouds
235,Papara,BR,-3.9839,-38.7273,81.0,68,68,4.94,broken clouds
236,Samarai,PG,-10.6167,150.6667,76.35,60,93,9.08,overcast clouds
237,Paciran,ID,-6.8767,112.3761,76.3,88,32,7.43,scattered clouds
238,Bermejo,AR,-32.8833,-68.8,57.11,24,0,10.36,clear sky
239,Killybegs,IE,54.6333,-8.45,56.91,77,27,21.21,scattered clouds
240,Khatanga,RU,71.9667,102.5,37.26,85,44,5.68,scattered clouds
241,Mendi,PG,-6.1761,143.6513,54.41,99,85,0.85,overcast clouds
242,Arlit,NE,18.7369,7.3853,98.89,10,0,13.8,clear sky
243,Najran,SA,17.4924,44.1277,83.05,34,100,4.07,overcast clouds
244,Broome,US,42.2506,-75.833,80.98,51,40,10.36,scattered clouds
245,Narsaq,GL,60.9167,-46.05,57.42,49,0,4.16,clear sky
246,Juneau,US,58.3019,-134.4197,62.6,77,75,9.22,broken clouds
247,Kruisfontein,ZA,-34.0033,24.7314,53.89,90,14,5.88,light rain
248,Los Andes,CL,-32.8337,-70.5983,60.08,33,0,2.55,clear sky
