City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Port Alfred,ZA,2022-08-18 15:51:05,-33.5906,26.891,58.17,86,83,8.01
168,Port Elizabeth,ZA,2022-08-18 15:51:05,-33.918,25.5701,59.09,96,100,16.11
169,Saint-Pierre,RE,2022-08-18 15:51:06,-21.3393,55.4781,71.29,76,20,4.61
170,Uglezavodsk,RU,2022-08-18 15:51:06,47.3167,142.6167,58.78,95,85,4.29
171,Thompson,CA,2022-08-18 15:51:06,55.7435,-97.8558,66.36,82,75,13.8
172,Bethel,US,2022-08-18 15:51:07,41.3712,-73.414,82.89,51,0,5.75
173,Warri,NG,2022-08-18 15:51:07,5.5167,5.75,79.48,75,100,8.61
174,Berlevag,NO,2022-08-18 15:51:08,70.8578,29.0864,53.6,62,75,11.5
175,Zhoucheng,CN,2022-08-18 15:51:08,35.9122,116.3117,82.6,86,96,11.3
176,Salalah,OM,2022-08-18 15:51:08,17.0151,54.0924,75.33,94,100,4.61
177,Bria,CF,2022-08-18 15:51:09,6.5423,21.9863,75.0,86,76,6.44
178,Bandarbeyla,SO,2022-08-18 15:51:09,9.4942,50.8122,77.22,79,25,29.35
179,Sao Joao Do Piaui,BR,2022-08-18 15:51:09,-8.3581,-42.2467,92.8,25,0,9.46
180,Naryan-Mar,RU,2022-08-18 15:52:10,67.6713,53.087,72.36,65,25,10.38
181,Upata,VE,2022-08-18 15:52:11,8.0086,-62.3989,82.18,58,26,4.29
182,Paka,MY,2022-08-18 15:52:11,4.6374,103.4368,78.73,94,73,0.0
183,Qaanaaq,GL,2022-08-18 15:52:12,77.484,-69.3632,37.49,98,100,2.57
184,Inirida,CO,2022-08-18 15:52:12,3.8653,-67.9239,89.8,56,16,1.88
185,Beringovskiy,RU,2022-08-18 15:52:13,63.05,179.3167,45.03,75,33,11.45
186,Villa Maria,AR,2022-08-18 15:52:13,-32.4075,-63.2402,53.82,36,0,14.0
187,Okhotsk,RU,2022-08-18 15:52:13,59.3833,143.3,54.63,96,100,38.18
188,Binga,ZW,2022-08-18 15:52:14,-17.6203,27.3414,74.98,34,81,3.38
189,Sao Miguel Do Iguacu,BR,2022-08-18 15:52:14,-25.3481,-54.2378,58.08,75,95,10.0
190,Tyrma,RU,2022-08-18 15:52:14,50.0833,132.1667,54.52,97,83,1.45
191,Kapaa,US,2022-08-18 15:47:16,22.0752,-159.319,76.12,90,75,9.22
192,Genhe,CN,2022-08-18 15:52:16,50.7833,121.5167,54.5,54,100,2.13
193,Marawi,PH,2022-08-18 15:52:16,7.9986,124.2928,68.45,94,98,4.12
194,Bairiki,KI,2022-08-18 15:52:17,1.3292,172.9752,78.8,83,20,5.75
195,Hornepayne,CA,2022-08-18 15:52:17,49.2138,-84.7705,69.67,66,94,9.35
196,Terrace,CA,2022-08-18 15:52:18,54.5163,-128.6035,64.31,82,0,9.22
197,Lavrentiya,RU,2022-08-18 15:52:18,65.5833,-171.0,39.76,85,100,8.57
198,Meadow Lake,US,2022-08-18 15:52:19,34.8014,-106.5436,76.84,59,6,1.95
199,Yar-Sale,RU,2022-08-18 15:52:19,66.8333,70.8333,47.66,89,100,2.86
200,Trelew,AR,2022-08-18 15:52:19,-43.249,-65.3051,51.13,36,5,18.32
201,Tura,IN,2022-08-18 15:52:21,25.5198,90.2201,79.59,84,92,4.0
202,Berdigestyakh,RU,2022-08-18 15:52:21,62.0989,126.6992,49.78,96,100,3.76
203,Ruteng,ID,2022-08-18 15:52:21,-8.6136,120.4721,57.54,88,89,1.48
204,San Quintin,MX,2022-08-18 15:52:22,30.4833,-115.95,72.21,82,98,7.14
205,Sola,VU,2022-08-18 15:52:22,-13.8833,167.55,79.75,75,2,8.16
206,Kavieng,PG,2022-08-18 15:52:22,-2.5744,150.7967,81.27,79,29,14.29
207,Shubarshi,KZ,2022-08-18 15:52:23,48.5872,57.1869,80.17,27,30,14.79
208,Osypenko,UA,2022-08-18 15:52:23,46.9136,36.8253,80.71,55,90,3.06
209,Flin Flon,CA,2022-08-18 15:52:23,54.7682,-101.865,67.84,77,0,5.75
210,Ulaangom,MN,2022-08-18 15:52:24,49.9811,92.0667,54.12,53,14,6.17
211,Skjervoy,NO,2022-08-18 15:52:24,70.0311,20.9714,57.2,73,68,8.52
212,Sinegorye,RU,2022-08-18 15:52:25,62.0788,150.477,53.2,89,100,6.42
